Time Step,difference,close,far,ratio
289,19.64234075,70.98362699,51.34128624,0.723283501
,,,,
290,19.71023864,71.11551759,51.40527895,0.722841944
,,,,
291,19.57192101,71.29241935,51.72049834,0.725469816
,,,,
292,19.69233885,71.47698976,51.78465091,0.72449401
,,,,
293,19.52947316,71.59936531,52.06989216,0.727239577
,,,,
294,19.64965093,71.7968602,52.14720927,0.726316013
,,,,
295,19.58156852,72.04791657,52.46634805,0.728214646
,,,,
296,19.61721217,72.18696077,52.5697486,0.728244381
,,,,
297,19.61089206,72.39984463,52.78895257,0.729130744
,,,,
298,19.60967792,72.47898217,52.86930425,0.729443249
,,,,
299,19.57444985,72.70513885,53.130689,0.730769377
,,,,
300,19.71467686,72.88571252,53.17103566,0.729512463
,,,,
301,19.57550531,73.08375274,53.50824742,0.732149697
,,,,
302,19.63736016,73.23050778,53.59314763,0.731841814
,,,,
303,19.5769634,73.46249723,53.88553383,0.733510782
,,,,
304,19.51007247,73.54500573,54.03493325,0.734719275
,,,,
305,19.60583614,73.80400817,54.19817203,0.734352691
,,,,
306,19.46258559,73.88536559,54.42278,0.736584025
,,,,
307,19.54216003,74.19994235,54.65778233,0.736628366
,,,,
308,19.40746483,74.18231791,54.77485308,0.738381526
,,,,
309,19.59364957,74.5397997,54.94615013,0.737138419
,,,,
310,19.43217303,74.62012632,55.1879533,0.739585364
,,,,
311,19.50110657,74.91146311,55.41035654,0.739677938
,,,,
312,19.41647706,74.98969814,55.57322108,0.741078074
,,,,
313,19.50076051,75.23954655,55.73878604,0.740817676
,,,,
314,19.42421491,75.4135511,55.98933619,0.742430709
,,,,
315,19.47020112,75.61041031,56.14020919,0.742493117
,,,,
316,19.50908627,75.80689067,56.2978044,0.742647587
,,,,
317,19.56078521,75.98432307,56.42353786,0.742568145
,,,,
318,19.59463854,76.20694047,56.61230192,0.742875932
,,,,
319,19.5032556,76.34180853,56.83855293,0.7445272
,,,,
320,19.58440311,76.55484237,56.97043926,0.744178128
,,,,
321,19.5835888,76.75038682,57.16679802,0.74484052
,,,,
322,19.5428927,76.85902843,57.31613573,0.745730683
,,,,
323,19.4868938,77.02420248,57.53730868,0.747002979
,,,,
324,19.48924413,77.22957492,57.74033079,0.747645327
,,,,
325,19.62043133,77.43921083,57.81877949,0.74663441
,,,,
326,19.47485518,77.56229338,58.08743819,0.748913366
,,,,
327,19.60252564,77.78455481,58.18202917,0.747989486
,,,,
328,19.58456316,77.96088965,58.37632649,0.748789896
,,,,
329,19.54322692,78.16474543,58.62151851,0.749973894
,,,,
330,19.57890926,78.27793883,58.69902957,0.749879601
,,,,
331,19.61403369,78.49840317,58.88436947,0.750134615
,,,,
332,19.68030803,78.72228019,59.04197215,0.750003328
,,,,
333,19.63154498,78.85135645,59.21981146,0.751030979
,,,,
334,19.62937771,79.04740851,59.4180308,0.751675886
,,,,
335,19.58101238,79.17164627,59.59063389,0.752676453
,,,,
336,19.62942396,79.44260538,59.81318141,0.752910622
,,,,
337,19.62630163,79.6407841,60.01448247,0.753564686
,,,,
338,19.60805502,79.79438283,60.18632781,0.754267728
,,,,
339,19.69873707,79.98825408,60.28951701,0.753729628
,,,,
340,19.48186033,80.08089212,60.59903179,0.756722736
,,,,
341,19.64807547,80.31276327,60.6646878,0.755355504
,,,,
342,19.60342954,80.52392713,60.9204976,0.756551497
,,,,
343,19.64157608,80.63802633,60.99645025,0.756422906
,,,,
344,19.40037541,80.79593904,61.39556363,0.759884276
,,,,
345,19.66267794,81.01737018,61.35469224,0.757302935
,,,,
346,19.48055248,81.19330648,61.71275401,0.76007194
,,,,
347,19.77950898,81.43093597,61.65142699,0.757100803
,,,,
348,19.51208067,81.5581673,62.04608664,0.760758716
,,,,
349,19.67555629,81.75109305,62.07553676,0.75932363
,,,,
350,19.42873374,81.94004726,62.51131351,0.762890865
,,,,
351,19.57960519,82.09953045,62.51992527,0.761513798
,,,,
352,19.50671856,82.3896245,62.88290594,0.763238166
,,,,
353,19.63839653,82.55170662,62.9133101,0.762107928
,,,,
354,19.5566163,82.73448566,63.17786936,0.763621951
,,,,
355,19.72034026,82.96588334,63.24554308,0.762307837
,,,,
356,19.57756495,83.12151473,63.54394978,0.764470546
,,,,
357,19.66237301,83.3427394,63.68036638,0.764078153
,,,,
358,19.66302109,83.46694552,63.80392443,0.764421461
,,,,
359,19.67723338,83.74377314,64.06653976,0.76503049
,,,,
360,19.56952083,83.80311547,64.23359464,0.76648218
,,,,
361,19.71644629,84.13865985,64.42221356,0.765667217
,,,,
362,19.56885198,84.26265982,64.69380785,0.767763657
,,,,
363,19.6149095,84.48146722,64.86655773,0.767819971
,,,,
364,19.4547911,84.58233389,65.12754279,0.7699899
,,,,
365,19.4863631,84.80849128,65.32212818,0.77023099
,,,,
366,19.52624647,84.96086456,65.43461809,0.770173637
,,,,
367,19.57124393,85.17992061,65.60867669,0.770236415
,,,,
368,19.5554769,85.37544672,65.81996982,0.770947296
,,,,
369,19.48613304,85.47654435,65.9904113,0.772029471
,,,,
370,19.56008389,85.70603482,66.14595094,0.771777053
,,,,
371,19.58315853,85.9688163,66.38565777,0.772206256
,,,,
372,19.60976765,86.05115243,66.44138478,0.772114991
,,,,
373,19.6801241,86.33384611,66.65372201,0.772046249
,,,,
374,19.54915542,86.41459444,66.86543902,0.77377484
,,,,
375,19.59599009,86.6325618,67.03657171,0.77380341
,,,,
376,19.6255671,86.74732215,67.12175504,0.773761695
,,,,
377,19.70067153,87.00609377,67.30542224,0.773571359
,,,,
378,19.62963182,87.14061625,67.51098443,0.774736137
,,,,
379,19.58914209,87.21414653,67.62500444,0.775390314
,,,,
380,19.556323,87.41958177,67.86325877,0.776293565
,,,,
381,19.54104909,87.581112,68.04006291,0.776880555
,,,,
382,19.64115664,87.81523772,68.17408109,0.776335439
,,,,
383,19.62556401,87.96842998,68.34286597,0.776902191
,,,,
384,19.60378706,88.09808866,68.4943016,0.777477726
,,,,
385,19.64522252,88.34504532,68.6998228,0.777630738
,,,,
386,19.63930525,88.52913925,68.889834,0.778159989
,,,,
387,19.60068212,88.71261014,69.11192802,0.779054161
,,,,
388,19.67757504,88.94491126,69.26733623,0.778766714
,,,,
389,19.61623956,89.02758434,69.41134478,0.779661105
,,,,
